compiler	arch	opt	file	function	mnemonic	count
gcc	x86_64	O0	src/c/ama_argon2.c	ama_argon2id_core	divl	1
gcc	x86_64	O0	src/c/ama_argon2.c	argon2_index_alpha	divl	2
gcc	x86_64	O0	src/c/ama_argon2.c	argon2_index_alpha	divq	1
gcc	x86_64	O0	src/c/ama_dilithium.c	dil_expand_matrix	divl	2
gcc	x86_64	O0	src/c/ama_lms.c	lms_checksum	divl	1
gcc	x86_64	O0	src/c/ama_lms.c	lms_coef	divl	2
gcc	x86_64	O0	src/c/ama_sha3.c	ama_shake128	divq	1
gcc	x86_64	O0	src/c/ama_sha3.c	ama_shake256	divq	1
gcc	x86_64	O1	src/c/ama_argon2.c	ama_argon2id_core	divl	3
gcc	x86_64	O1	src/c/ama_argon2.c	ama_argon2id_core	divq	2
gcc	x86_64	O1	src/c/ama_dilithium.c	dil_sign_internal	divl	15
gcc	x86_64	O1	src/c/ama_lms.c	lms_verify_parsed	divl	11
gcc	x86_64	O2	src/c/ama_argon2.c	ama_argon2id_core	divl	4
gcc	x86_64	O2	src/c/ama_argon2.c	ama_argon2id_core	divq	2
gcc	x86_64	O2	src/c/ama_dilithium.c	dil_sign_internal	divl	14
gcc	x86_64	O2	src/c/ama_lms.c	lms_verify_parsed	divl	11
gcc	x86_64	O3	src/c/ama_argon2.c	ama_argon2id_core	divl	4
gcc	x86_64	O3	src/c/ama_argon2.c	ama_argon2id_core	divq	2
gcc	x86_64	O3	src/c/ama_dilithium.c	dil_sign_internal	divl	14
gcc	x86_64	O3	src/c/ama_lms.c	lms_verify_parsed	divl	11
gcc	x86_64	Os	src/c/ama_argon2.c	ama_argon2id_core	divl	3
gcc	x86_64	Os	src/c/ama_argon2.c	ama_argon2id_core	divq	1
gcc	x86_64	Os	src/c/ama_dilithium.c	dil_sign_internal	divl	1
gcc	x86_64	Os	src/c/ama_ed25519.c	ge25519_wnaf_add_digit	idivl	1
gcc	x86_64	Os	src/c/ama_lms.c	lms_verify_parsed	divl	5
gcc	x86_64	Os	src/c/ama_sha3.c	ama_sha3_256	divq	1
gcc	x86_64	Os	src/c/ama_sha3.c	ama_sha3_384	divq	1
gcc	x86_64	Os	src/c/ama_sha3.c	ama_sha3_512	divq	1
gcc	x86_64	Os	src/c/ama_sha3.c	ama_shake128	divq	1
gcc	x86_64	Os	src/c/ama_sha3.c	ama_shake256	divq	1
gcc	x86_64	Os	src/c/dispatch/ama_dispatch.c	bench_slot_regressed	idivq	1
gcc	x86_64	Os	src/c/avx2/ama_sha3_avx2.c	ama_keccak_f1600_avx2	idivl	1
gcc	x86_64	Os	src/c/avx2/ama_sha3_avx2.c	ama_keccak_f1600_x4_avx2	idivl	1
clang	x86_64	O0	src/c/ama_aes_bitsliced.c	ama_aes256_key_expansion_consttime	idivl	3
clang	x86_64	O0	src/c/ama_argon2.c	ama_argon2id_core	divl	1
clang	x86_64	O0	src/c/ama_argon2.c	argon2_index_alpha	divl	2
clang	x86_64	O0	src/c/ama_argon2.c	argon2_index_alpha	divq	1
clang	x86_64	O0	src/c/ama_dilithium.c	dil_expand_matrix	divl	2
clang	x86_64	O0	src/c/ama_ed25519.c	ge25519_scalarmult_base_comb_signed	idivl	2
clang	x86_64	O0	src/c/ama_ed25519.c	ge25519_wnaf_add_digit	idivl	2
clang	x86_64	O0	src/c/ama_lms.c	lms_checksum	divl	1
clang	x86_64	O0	src/c/ama_lms.c	lms_coef	divl	2
clang	x86_64	O0	src/c/ama_nistp.c	nistp_scalar_mul_generator	idivq	1
clang	x86_64	O0	src/c/ama_sha3.c	ama_sha3_256	divq	1
clang	x86_64	O0	src/c/ama_sha3.c	ama_sha3_384	divq	1
clang	x86_64	O0	src/c/ama_sha3.c	ama_sha3_512	divq	1
