path	changed_in_pr	copilot_reviewed	executed_by	ledger_ids	measurement_tables	read_by_auditor	claims_executed	negative_controls	findings
.clang-format	yes	yes (per PR description)	consumed by the analysers and builds this session ran (ruff/black/semgrep/clang-tidy/cppcheck configuration, the pre-commit set, the ignore rules) and by the workflow and pin gates	V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.clang-tidy	yes	yes (per PR description)	consumed by the analysers and builds this session ran (ruff/black/semgrep/clang-tidy/cppcheck configuration, the pre-commit set, the ignore rules) and by the workflow and pin gates	V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.cppcheck-suppressions	yes	yes (per PR description)	consumed by the analysers and builds this session ran (ruff/black/semgrep/clang-tidy/cppcheck configuration, the pre-commit set, the ignore rules) and by the workflow and pin gates	V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/CODEOWNERS	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/allowed_signers	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/copilot-instructions.md	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/scripts/apt-install.sh	yes	yes (per PR description)	shell entry points: header, line-ending and secrets gates; the workflow-command gate checks the steps that call them	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/scripts/choco-install.ps1	yes	yes (per PR description)	shell entry points: header, line-ending and secrets gates; the workflow-command gate checks the steps that call them	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/acvp_validation.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/arm-qemu.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	partial (SVE2 lanes)	0	none	none
.github/workflows/auto-docs.yml	no	n/a (not in the PR diff)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/baseline-guard.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/ci-build-test.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	partial (mypy step)	0	none	none
