target	seconds	max_len	seed_inputs	dictionary	execs	cov	ft	corpus_final	exit	log
fuzz_aes_gcm	60	4096	58	fuzz/dictionaries/fuzz_aes_gcm.dict	2231133	1039	1778	57	0	docs/audit/logs/phaseD/fuzz/fuzz_aes_gcm.log
fuzz_agent_binding	60	4096	38	fuzz/dictionaries/fuzz_agent_binding.dict	192685	960	1612	50	0	docs/audit/logs/phaseD/fuzz/fuzz_agent_binding.log
fuzz_argon2	60	4096	14	fuzz/dictionaries/fuzz_argon2.dict	8775	1128	1225	12	0	docs/audit/logs/phaseD/fuzz/fuzz_argon2.log
fuzz_ascon	60	4096	19	none	818234	301	910	64	0	docs/audit/logs/phaseD/fuzz/fuzz_ascon.log
fuzz_chacha20poly1305	60	4096	31	fuzz/dictionaries/fuzz_chacha20poly1305.dict	1128284	1006	1697	50	0	docs/audit/logs/phaseD/fuzz/fuzz_chacha20poly1305.log
fuzz_consttime	60	4096	72	fuzz/dictionaries/fuzz_consttime.dict	24014644	61	208	62	0	docs/audit/logs/phaseD/fuzz/fuzz_consttime.log
fuzz_dilithium	60	5278	62	fuzz/dictionaries/fuzz_dilithium.dict	7167	2233	5213	150	0	docs/audit/logs/phaseD/fuzz/fuzz_dilithium.log
fuzz_ed25519	60	4096	67	fuzz/dictionaries/fuzz_ed25519.dict	182656	3701	9947	73	0	docs/audit/logs/phaseD/fuzz/fuzz_ed25519.log
fuzz_frost	60	4096	73	none	5627	4311	18216	121	0	docs/audit/logs/phaseD/fuzz/fuzz_frost.log
fuzz_hkdf	60	4096	44	fuzz/dictionaries/fuzz_hkdf.dict	197785	871	1593	49	0	docs/audit/logs/phaseD/fuzz/fuzz_hkdf.log
fuzz_kyber	60	4096	66	fuzz/dictionaries/fuzz_kyber.dict	74401	1420	2193	63	0	docs/audit/logs/phaseD/fuzz/fuzz_kyber.log
fuzz_secp256k1	60	4096	28	fuzz/dictionaries/fuzz_secp256k1.dict	171267	800	1447	34	0	docs/audit/logs/phaseD/fuzz/fuzz_secp256k1.log
fuzz_sha3	60	4491	98	fuzz/dictionaries/fuzz_sha3.dict	1949359	1058	2200	51	0	docs/audit/logs/phaseD/fuzz/fuzz_sha3.log
fuzz_sphincs	60	49937	19	fuzz/dictionaries/fuzz_sphincs.dict	134	1125	2448	30	0	docs/audit/logs/phaseD/fuzz/fuzz_sphincs.log
fuzz_x25519	60	4096	10	fuzz/dictionaries/fuzz_x25519.dict	105736	314	476	6	0	docs/audit/logs/phaseD/fuzz/fuzz_x25519.log
