target	seconds	max_len	seed_inputs	dictionary	execs	cov	ft	corpus_final	exit	log
fuzz_aes_gcm	60	4096	58	fuzz/dictionaries/fuzz_aes_gcm.dict	1874469	1038	1777	56	0	docs/audit/logs/phaseD/fuzz/fuzz_aes_gcm.log
fuzz_agent_binding	60	4096	38	fuzz/dictionaries/fuzz_agent_binding.dict	198497	960	1609	49	0	docs/audit/logs/phaseD/fuzz/fuzz_agent_binding.log
fuzz_argon2	60	4096	14	fuzz/dictionaries/fuzz_argon2.dict	9675	1132	1243	14	0	docs/audit/logs/phaseD/fuzz/fuzz_argon2.log
fuzz_ascon	60	4096	19	none	846924	301	913	64	0	docs/audit/logs/phaseD/fuzz/fuzz_ascon.log
fuzz_chacha20poly1305	60	4096	31	fuzz/dictionaries/fuzz_chacha20poly1305.dict	1085007	1007	1700	50	0	docs/audit/logs/phaseD/fuzz/fuzz_chacha20poly1305.log
fuzz_consttime	60	4096	72	fuzz/dictionaries/fuzz_consttime.dict	22492454	61	208	62	0	docs/audit/logs/phaseD/fuzz/fuzz_consttime.log
fuzz_dilithium	60	5278	62	fuzz/dictionaries/fuzz_dilithium.dict	7482	2232	5235	152	0	docs/audit/logs/phaseD/fuzz/fuzz_dilithium.log
fuzz_ed25519	60	4096	67	fuzz/dictionaries/fuzz_ed25519.dict	184379	3701	9957	76	0	docs/audit/logs/phaseD/fuzz/fuzz_ed25519.log
fuzz_frost	60	4096	73	none	5613	4318	18280	121	0	docs/audit/logs/phaseD/fuzz/fuzz_frost.log
fuzz_hkdf	60	4096	44	fuzz/dictionaries/fuzz_hkdf.dict	199167	872	1594	50	0	docs/audit/logs/phaseD/fuzz/fuzz_hkdf.log
fuzz_kyber	60	4096	66	fuzz/dictionaries/fuzz_kyber.dict	71051	1421	2203	63	0	docs/audit/logs/phaseD/fuzz/fuzz_kyber.log
fuzz_secp256k1	60	4096	28	fuzz/dictionaries/fuzz_secp256k1.dict	266504	825	1502	47	0	docs/audit/logs/phaseD/fuzz/fuzz_secp256k1.log
fuzz_sha3	60	4491	98	fuzz/dictionaries/fuzz_sha3.dict	1871956	1057	2199	52	0	docs/audit/logs/phaseD/fuzz/fuzz_sha3.log
fuzz_sphincs	60	49937	19	fuzz/dictionaries/fuzz_sphincs.dict	116	1124	2370	25	0	docs/audit/logs/phaseD/fuzz/fuzz_sphincs.log
fuzz_x25519	60	4096	10	fuzz/dictionaries/fuzz_x25519.dict	111956	314	475	6	0	docs/audit/logs/phaseD/fuzz/fuzz_x25519.log
