test	command	environment	exit	duration_s	errors	definitely_lost	log
test_consttime	/home/user/AMA-Cryptography/build-valgrind/bin/test_consttime		0	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_consttime.log
test_core	/home/user/AMA-Cryptography/build-valgrind/bin/test_core		0	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_core.log
test_secure_memory_dontdump	/home/user/AMA-Cryptography/build-valgrind/bin/test_secure_memory_dontdump		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_secure_memory_dontdump.log
test_secure_free_scrub	/home/user/AMA-Cryptography/build-valgrind/bin/test_secure_free_scrub		0	83	0	n/a	docs/audit/logs/phaseD/valgrind/test_secure_free_scrub.log
test_secure_free_scrub_negative	/home/user/AMA-Cryptography/build-valgrind/bin/test_secure_free_scrub "negative"		0	99	0	n/a	docs/audit/logs/phaseD/valgrind/test_secure_free_scrub_negative.log
test_aes_gcm_scalar_kat	/home/user/AMA-Cryptography/build-valgrind/bin/test_aes_gcm_scalar_kat		0	7	0	n/a	docs/audit/logs/phaseD/valgrind/test_aes_gcm_scalar_kat.log
test_sha512_kat	/home/user/AMA-Cryptography/build-valgrind/bin/test_sha512_kat		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_sha512_kat.log
test_aes_gcm_backend_introspect	/home/user/AMA-Cryptography/build-valgrind/bin/test_aes_gcm_backend_introspect		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_aes_gcm_backend_introspect.log
test_dispatch_only_sha3-avx512x4	/home/user/AMA-Cryptography/build-valgrind/bin/test_dispatch_only_env	AMA_DISPATCH_ONLY=sha3-avx512x4 AMA_DISPATCH_NO_AUTOTUNE=1	77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_dispatch_only_sha3-avx512x4.log
test_dispatch_only_kyber-ntt-avx2	/home/user/AMA-Cryptography/build-valgrind/bin/test_dispatch_only_env	AMA_DISPATCH_ONLY=kyber-ntt-avx2 AMA_DISPATCH_NO_AUTOTUNE=1	77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_dispatch_only_kyber-ntt-avx2.log
test_dispatch_only_dilithium-ntt-avx2	/home/user/AMA-Cryptography/build-valgrind/bin/test_dispatch_only_env	AMA_DISPATCH_ONLY=dilithium-ntt-avx2 AMA_DISPATCH_NO_AUTOTUNE=1	77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_dispatch_only_dilithium-ntt-avx2.log
test_dispatch_only_chacha20-avx2x8	/home/user/AMA-Cryptography/build-valgrind/bin/test_dispatch_only_env	AMA_DISPATCH_ONLY=chacha20-avx2x8 AMA_DISPATCH_NO_AUTOTUNE=1	77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_dispatch_only_chacha20-avx2x8.log
test_dispatch_only_argon2-g-avx2	/home/user/AMA-Cryptography/build-valgrind/bin/test_dispatch_only_env	AMA_DISPATCH_ONLY=argon2-g-avx2 AMA_DISPATCH_NO_AUTOTUNE=1	77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_dispatch_only_argon2-g-avx2.log
test_dispatch_only_aes-gcm-neon	/home/user/AMA-Cryptography/build-valgrind/bin/test_dispatch_only_env	AMA_DISPATCH_ONLY=aes-gcm-neon AMA_DISPATCH_NO_AUTOTUNE=1	77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_dispatch_only_aes-gcm-neon.log
