--- AVX/AVX2/AVX-512 (YMM/ZMM)  (-mavx2, -mavx512f -mavx512vl) ---
    ama_aes256_encrypt_block_consttime              242  *** NON-KERNEL ***
    ama_aes256_gcm_decrypt_vaes_avx2                110  kernel
    ama_aes256_gcm_encrypt_vaes_avx2                121  kernel
    ama_aes256_key_expansion_consttime                2  *** NON-KERNEL ***
    ama_aes_sbox_consttime                          346  *** NON-KERNEL ***
    ama_agent_binding_authorize                       4  *** NON-KERNEL ***
    ama_agent_binding_check                           4  *** NON-KERNEL ***
    ama_agent_binding_context                         4  *** NON-KERNEL ***
    ama_agent_binding_encode                          4  *** NON-KERNEL ***
    ama_agent_binding_init                            4  *** NON-KERNEL ***
    ama_argon2_g_avx2                               183  kernel
    ama_argon2id_core                               104  *** NON-KERNEL ***
    ama_ascon_aead128_encrypt                       201  *** NON-KERNEL ***
    ama_ascon_aead_absorb_ad                         97  *** NON-KERNEL ***
    ama_ascon_aead_absorb_ct                        197  *** NON-KERNEL ***
    ama_ascon_hash256                                97  *** NON-KERNEL ***
    ama_chacha20_block_x8_avx2                      283  kernel
    ama_chacha20poly1305_decrypt                      4  *** NON-KERNEL ***
    ama_chacha20poly1305_encrypt                      4  *** NON-KERNEL ***
    ama_dilithium_invntt_avx2                       532  kernel
    ama_dilithium_ntt_avx2                          429  kernel
    ama_dilithium_ntt_bench                         108  *** NON-KERNEL ***
    ama_dilithium_ntt_generic_ref                   108  *** NON-KERNEL ***
    ama_dilithium_poly_pointwise_avx2                96  kernel
    ama_dilithium_rej_uniform_avx2                    9  kernel
    ama_ed25519_double_scalarmult_public              1  *** NON-KERNEL ***
    ama_ed25519_keypair                               2  *** NON-KERNEL ***
    ama_ed25519_point_from_scalar                     6  *** NON-KERNEL ***
    ama_ed25519_sc_muladd                             2  *** NON-KERNEL ***
    ama_ed25519_sc_reduce                             2  *** NON-KERNEL ***
    ama_ed25519_scalarmult_public                     1  *** NON-KERNEL ***
    ama_ed25519_sha512                                7  *** NON-KERNEL ***
    ama_frost_aggregate                              28  *** NON-KERNEL ***
    ama_frost_keygen_trusted_dealer                  10  *** NON-KERNEL ***
    ama_frost_round2_sign                            34  *** NON-KERNEL ***
    ama_hkdf                                          7  *** NON-KERNEL ***
    ama_hkdf_agent_bound                             16  *** NON-KERNEL ***
    ama_hmac_sha256                                  10  *** NON-KERNEL ***
    ama_hmac_sha256_2                                10  *** NON-KERNEL ***
    ama_hmac_sha384                                  36  *** NON-KERNEL ***
    ama_hmac_sha512_3.constprop.0                    79  *** NON-KERNEL ***
    ama_keccak_f1600_avx2                            44  kernel
    ama_keccak_f1600_x4_avx2                        235  kernel
    ama_kyber_cbd2_avx2                               7  kernel
    ama_kyber_invntt_avx2                           297  kernel
    ama_kyber_ntt_avx2                              246  kernel
    ama_nistp_ecdh                                  170  *** NON-KERNEL ***
    ama_nistp_keypair                                18  *** NON-KERNEL ***
    ama_nistp_point_decode                          265  *** NON-KERNEL ***
    ama_nistp_pubkey_from_privkey                   264  *** NON-KERNEL ***
    ama_nistp_sig_der_to_raw                         32  *** NON-KERNEL ***
    ama_nistp_sig_raw_to_der                         32  *** NON-KERNEL ***
    ama_pbkdf2_hmac_sha256                           69  *** NON-KERNEL ***
    ama_pbkdf2_hmac_sha512                           98  *** NON-KERNEL ***
    ama_secp256k1_ecdsa_verify_ex                    37  *** NON-KERNEL ***
    ama_secp256k1_point_mul                          20  *** NON-KERNEL ***
    ama_secp256k1_pubkey_decompress                   8  *** NON-KERNEL ***
    ama_secp256k1_pubkey_from_privkey                18  *** NON-KERNEL ***
    ama_sha256_init                                   2  *** NON-KERNEL ***
    ama_sha384                                        6  *** NON-KERNEL ***
    ama_sha3_256                                     18  *** NON-KERNEL ***
    ama_sha3_384                                     77  *** NON-KERNEL ***
    ama_sha3_512                                     51  *** NON-KERNEL ***
    ama_sha3_512_final                                8  *** NON-KERNEL ***
    ama_sha3_512_update                               6  *** NON-KERNEL ***
    ama_sha3_final                                   16  *** NON-KERNEL ***
    ama_sha3_update                                  24  *** NON-KERNEL ***
    ama_sha512                                        4  *** NON-KERNEL ***
    ama_sha512_ctx_update.constprop.0                 4  *** NON-KERNEL ***
    ama_sha512_transform                             70  *** NON-KERNEL ***
    ama_shake128                                    204  *** NON-KERNEL ***
    ama_shake128_inc_absorb                          30  *** NON-KERNEL ***
    ama_shake128_inc_finalize                        15  *** NON-KERNEL ***
    ama_shake128_x4_absorb_once                      15  *** NON-KERNEL ***
    ama_shake256                                    160  *** NON-KERNEL ***
    ama_shake256_inc_finalize                        16  *** NON-KERNEL ***
    ama_shake256_x4_absorb_once                      16  *** NON-KERNEL ***
    ama_slhdsa_verify                                 1  *** NON-KERNEL ***
    ama_sphincs_keypair                              10  *** NON-KERNEL ***
    ama_sphincs_verify                                7  *** NON-KERNEL ***
    ama_sphincs_wots_chain_avx2                       6  kernel
    ama_x25519_scalarmult_x4_avx2                   750  kernel
    argon2_G_scalar                                  48  *** NON-KERNEL ***
    blake2b_compress                                  8  *** NON-KERNEL ***
    blake2b_long_impl                                42  *** NON-KERNEL ***
    chacha20_block                                    2  *** NON-KERNEL ***
    chacha20_xor.constprop.0                         54  *** NON-KERNEL ***
    compute_binding_factor                            4  *** NON-KERNEL ***
    compute_group_commitment                          4  *** NON-KERNEL ***
    curved25519_scalarmult_basepoint                  2  *** NON-KERNEL ***
    der_parse_integer                                 7  *** NON-KERNEL ***
    dil_invntt_scalar                               171  *** NON-KERNEL ***
    dil_keygen_internal                             684  *** NON-KERNEL ***
    dil_matrix_pointwise_rowwise                    164  *** NON-KERNEL ***
    dil_ntt                                         108  *** NON-KERNEL ***
