id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
1	130	4	str-const	"tests/c/test_dudect.c"	""	1	0	killed	0.9	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.18s
2	131	4	str-const	"tools/constant_time/dudect_crypto.c"	""	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.21s
3	132	4	str-const	"tools/constant_time/dudect_harness.c"	""	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.24s
4	138	8	str-const	"from a real leak"	""	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.30s
5	191	4	str-const	"|"	""	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_verdicts[\nstatic double test_lane(int iterations) {\n    for (int i = 0; i < iterations; i++) {\n        int class_idx = rand() & 1;\n        const uint8_t *key = class_idx ? key1 : key0;\n        uint64_t start = get_time_ns();\n        crypt(key
6	286	12	int-const	0	1	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.29s
7	287	41	str-const	"\n"	""	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Valu... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.21s
8	287	54	int-const	1	2	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.36s
9	288	25	str-const	"//"	""	1	0	killed	1.1	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Valu... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.25s
10	288	31	int-const	1	2	0	0	survived	1.3	..................................                                       [100%] | 34 passed in 0.31s
