id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
1	116	21	str-const	"ama_cryptography"	""	0	0	survived	3.1	.....................                                                    [100%] | 21 passed in 1.53s
2	116	42	str-const	"pqc_backends.py"	""	0	0	survived	3.4	.....................                                                    [100%] | 21 passed in 2.02s
3	125	4	str-const	"src/cython/ed25519_binding.pyx"	""	1	0	killed	1.4	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.49s
4	126	4	str-const	"src/cython/hmac_binding.pyx"	""	1	0	killed	1.3	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.47s
5	127	4	str-const	"src/cython/sha3_binding.pyx"	""	1	0	killed	1.3	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.48s
6	128	4	str-const	"src/cython/dilithium_binding.pyx"	""	1	0	killed	1.3	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.46s
7	129	4	str-const	"src/cython/hkdf_binding.pyx"	""	1	0	killed	1.3	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.46s
8	136	10	str-const	"check_crypto_permitted"	""	1	0	killed	1.0	FAILED tests/test_error_state_gating_tool.py::TestGuardDelegation::test_a_helper_that_opens_with_a_guard_qualifies | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.22s
9	136	36	str-const	"check_operational"	""	0	0	survived	2.7	.....................                                                    [100%] | 21 passed in 1.36s
10	143	16	str-const	"_cy_"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.39s
11	169	4	str-const	"ama_cryptography/pqc_backends.py"	""	1	0	killed	1.1	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.23s
12	170	4	str-const	"ama_cryptography/ascon.py"	""	1	0	killed	1.0	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_ascon_is_in_scope | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.20s
13	179	4	str-const	"ama_cryptography/agent_binding.py"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.35s
14	180	4	str-const	"ama_cryptography/secure_memory.py"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.35s
15	188	4	str-const	"lms_signing_available"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.31s
16	194	4	str-const	"AmaContext.close"	""	1	0	killed	1.1	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.31s
17	199	4	str-const	"secure_mlock"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.35s
18	206	4	str-const	"secure_munlock"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.34s
19	228	4	str-const	"ama_cryptography/_self_test.py"	""	1	0	killed	1.8	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.92s
20	236	4	str-const	"ama_cryptography/crypto_api.py"	""	1	0	killed	1.7	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.86s
21	242	4	str-const	"ama_cryptography/hybrid_combiner.py"	""	1	0	killed	1.6	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.83s
22	248	4	str-const	"ama_cryptography/key_management.py"	""	1	0	killed	1.6	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.82s
