id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
1	73	10	str-const	"ama_cryptography/pqc_backends.py"	""	1	0	killed	1.2	FAILED tests/test_keygen_pct_gate.py::TestTheRule::test_an_unwired_entry_point_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 1 passed in 0.25s
2	78	25	str-const	"pairwise_test_signature"	""	1	0	killed	1.1	FAILED tests/test_keygen_pct_gate.py::TestTheRule::test_a_direct_call_is_accepted | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 3 passed in 0.22s
3	78	52	str-const	"pairwise_test_kem"	""	1	0	killed	1.1	FAILED tests/test_keygen_pct_gate.py::TestTheRule::test_one_level_of_delegation_is_followed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 2 passed in 0.22s
4	78	73	str-const	"pairwise_test_agreement"	""	1	0	killed	1.3	FAILED tests/test_keygen_pct_gate.py::TestTheRealTree::test_the_shipped_backend_is_fully_wired | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.43s
5	81	19	str-const	"keypair"	""	1	0	killed	1.2	FAILED tests/test_keygen_pct_gate.py::TestTheRealTree::test_the_shipped_backend_is_fully_wired | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.43s
6	81	30	str-const	"keygen"	""	1	0	killed	1.2	FAILED tests/test_keygen_pct_gate.py::TestTheRealTree::test_the_shipped_backend_is_fully_wired | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.43s
7	87	4	str-const	"_setup_deterministic_keygen_ctypes"	""	1	0	killed	1.3	FAILED tests/test_keygen_pct_gate.py::TestTheRealTree::test_the_shipped_backend_is_fully_wired | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.38s
8	91	4	str-const	"_keypair_pairwise_test"	""	1	0	killed	1.0	FAILED tests/test_keygen_pct_gate.py::TestTheRule::test_one_level_of_delegation_is_followed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 2 passed in 0.20s
9	100	19	int-const	10	11	0	0	survived	2.0	..................                                                       [100%] | 18 passed in 0.91s
10	113	4	return-none	return names	return None	1	0	killed	1.0	FAILED tests/test_keygen_pct_gate.py::TestTheRule::test_an_unwired_entry_point_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 1 passed in 0.22s
11	118	4	return-none	return bool(arm) and isinstance(arm[-1], ast.Raise)	return None	1	0	killed	1.0	FAILED tests/test_keygen_pct_gate.py::TestConditionalArms::test_an_arm_that_raises_releases_nothing | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 7 passed in 0.21s
12	118	21	boolop	and	or	1	0	killed	1.0	FAILED tests/test_keygen_pct_gate.py::TestConditionalArms::test_a_delegated_helper_with_a_dark_arm_is_not_a_helper | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 5 passed in 0.20s
13	118	41	int-const	1	2	1	0	killed	1.0	FAILED tests/test_keygen_pct_gate.py::TestConditionalArms::test_a_delegated_helper_with_a_dark_arm_is_not_a_helper | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 5 passed in 0.21s
14	134	15	not-removal	not 		1	0	killed	1.0	FAILED tests/test_keygen_pct_gate.py::TestConditionalArms::test_a_delegated_helper_with_a_dark_arm_is_not_a_helper | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 5 passed in 0.20s
15	135	16	loop-jump	continue	break	1	0	killed	1.0	FAILED tests/test_keygen_pct_gate.py::TestConditionalArms::test_earlier_conditionals_do_not_end_the_scan | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 9 passed in 0.23s
