id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
1	133	8	str-const	"ubuntu-latest"	""	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_retired_macos_13_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.24s
2	134	8	str-const	"ubuntu-24.04"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.64s
3	135	8	str-const	"ubuntu-22.04"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.59s
4	137	8	str-const	"ubuntu-24.04-arm"	""	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_supported_labels_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 3 passed in 0.22s
5	138	8	str-const	"ubuntu-22.04-arm"	""	0	0	survived	3.1	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.65s
6	140	8	str-const	"macos-latest"	""	1	0	killed	2.0	FAILED tests/test_workflow_command_checks.py::TestRepositoryWorkflows::test_repository_workflows_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 98 passed in 1.18s
7	141	8	str-const	"macos-26"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.58s
8	142	8	str-const	"macos-15"	""	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_supported_labels_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 3 passed in 0.24s
9	143	8	str-const	"macos-14"	""	0	0	survived	3.2	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.85s
10	145	8	str-const	"macos-26-intel"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.59s
11	146	8	str-const	"macos-15-intel"	""	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_supported_labels_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 3 passed in 0.22s
12	148	8	str-const	"windows-latest"	""	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_retired_macos_13_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.23s
13	149	8	str-const	"windows-2025"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.61s
14	150	8	str-const	"windows-2022"	""	0	0	survived	3.1	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.73s
15	159	4	str-const	"macos-13"	""	1	0	killed	1.2	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_retired_macos_13_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.30s
16	159	16	str-const	"macos-15-intel (Intel x86_64) or macos-15 (Apple Silicon arm64)"	""	0	0	survived	3.1	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.71s
17	160	4	str-const	"macos-12"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.65s
18	160	16	str-const	"macos-15-intel (Intel x86_64) or macos-15 (Apple Silicon arm64)"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.70s
19	161	4	str-const	"macos-11"	""	0	0	survived	3.1	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.77s
20	161	16	str-const	"macos-15-intel (Intel x86_64) or macos-15 (Apple Silicon arm64)"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.62s
21	162	4	str-const	"ubuntu-20.04"	""	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_retired_label_names_its_replacement | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 1 passed in 0.25s
22	162	20	str-const	"ubuntu-24.04 or ubuntu-latest"	""	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_retired_label_names_its_replacement | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 1 passed in 0.25s
23	163	4	str-const	"ubuntu-18.04"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.66s
24	163	20	str-const	"ubuntu-24.04 or ubuntu-latest"	""	0	0	survived	2.8	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.58s
25	164	4	str-const	"windows-2019"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.62s
26	164	20	str-const	"windows-2025 or windows-latest"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.58s
27	165	4	str-const	"windows-2016"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.63s
28	165	20	str-const	"windows-2025 or windows-latest"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.58s
29	172	4	str-const	"softprops/action-gh-release"	""	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestReleasePublishing::test_non_release_steps_are_ignored | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 30 passed in 0.27s
30	173	4	str-const	"step-security/action-gh-release"	""	1	0	killed	1.2	FAILED tests/test_workflow_command_checks.py::TestReleasePublishing::test_non_release_steps_are_ignored | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 30 passed in 0.28s
31	178	4	str-const	"CIBW_BEFORE_ALL_WINDOWS"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.66s
32	179	4	str-const	"CIBW_BEFORE_BUILD_WINDOWS"	""	1	0	killed	1.2	FAILED tests/test_workflow_command_checks.py::TestWindowsQuoting::test_posix_single_quoting_in_windows_command_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 14 passed in 0.26s
33	180	4	str-const	"CIBW_BEFORE_TEST_WINDOWS"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.71s
34	181	4	str-const	"CIBW_TEST_COMMAND_WINDOWS"	""	0	0	survived	3.2	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.75s
35	182	4	str-const	"CIBW_REPAIR_WHEEL_COMMAND_WINDOWS"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.64s
36	208	18	str-const	'"'	''	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.66s
37	208	23	str-const	'"'	''	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.59s
38	208	28	str-const	"\\"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.59s
39	208	34	str-const	"\\"	""	0	0	survived	2.8	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.56s
40	208	40	str-const	"$"	""	0	0	survived	2.8	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.54s
41	208	45	str-const	"$"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.66s
42	208	50	str-const	"`"	""	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.56s
43	208	55	str-const	"`"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.60s
44	208	60	str-const	"\n"	""	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.64s
45	218	12	int-const	0	1	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_folded_scalar_leading_space_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.23s
46	220	16	compare	<	>=	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_folded_scalar_leading_space_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.24s
47	222	16	compare	==	!=	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_escaped_quotes_inside_payload_are_not_false_positives | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.25s
48	222	19	str-const	"\\"	""	0	0	survived	3.2	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.84s
49	222	24	boolop	and	or	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_escaped_quotes_inside_payload_are_not_false_positives | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.22s
50	222	34	binop	+	-	0	0	survived	2.8	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.54s
51	222	36	int-const	1	2	0	0	survived	3.0	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.75s
52	222	38	compare	<	>=	0	0	survived	2.7	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.49s
53	223	32	binop	+	-	0	0	survived	2.8	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.52s
54	223	34	int-const	1	2	0	0	survived	2.9	........................................................................ [ 69%] | ...............................                                          [100%] | 103 passed in 1.58s
55	224	19	compare	in	not in	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_escaped_quotes_inside_payload_are_not_false_positives | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.24s
56	226	25	int-const	2	3	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_escaped_quotes_inside_payload_are_not_false_positives | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.22s
57	227	16	loop-jump	continue	break	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_escaped_quotes_inside_payload_are_not_false_positives | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.29s
58	229	17	int-const	1	2	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_valid_single_line_payload_passes | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 9 passed in 0.23s
59	230	4	return-none	return "".join(out)	return None	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_folded_scalar_leading_space_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.24s
60	264	26	int-const	0	1	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_supported_labels_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 3 passed in 0.23s
61	266	28	int-const	0	1	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_folded_scalar_leading_space_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.23s
62	267	31	int-const	0	1	1	0	killed	1.1	FAILED tests/test_workflow_command_checks.py::TestExpressionSyntax::test_legitimate_bare_conditions_are_not_flagged[steps.setup-python.outcome == 'failure'] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 51 passed in 0.29s
