id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
1	65	16	int-const	8192	8193	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.21s
2	66	16	int-const	256	257	0	0	survived	1.0	........................                                                 [100%] | 24 passed in 0.21s
3	123	27	bool-const	False	True	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.25s
4	125	28	compare	is	is not	1	0	killed	1.1	ERROR tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 error in 0.22s
5	128	28	compare	is not	is	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.23s
6	137	12	return-none	return _native_lib	return None	1	0	killed	1.0	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.21s
7	156	12	return-none	return True	return None	1	0	killed	1.0	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.22s
8	156	19	bool-const	True	False	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.23s
9	158	12	return-none	return False	return None	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.22s
10	158	19	bool-const	False	True	1	0	killed	1.1	ERROR tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 error in 0.22s
11	168	26	int-const	32	33	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.22s
12	223	24	str-const	">I"	""	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.25s
13	225	26	str-const	">I"	""	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.27s
14	228	27	binop	+	-	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.24s
15	232	26	str-const	">B"	""	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.25s
16	232	32	int-const	2	3	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.22s
17	233	26	str-const	">I"	""	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.22s
18	235	26	str-const	">I"	""	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridCombinerInvariant7::test_combine_raises_without_native | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.22s
19	240	12	return-none	return self._hkdf_native(salt, ikm, info, output_len)	return None	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.31s
20	266	14	compare	!=	==	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.24s
