id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
1	124	4	str-const	"src/cython/ed25519_binding.pyx"	""	1	0	killed	1.3	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.47s
2	125	4	str-const	"src/cython/hmac_binding.pyx"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.46s
3	126	4	str-const	"src/cython/sha3_binding.pyx"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.46s
4	127	4	str-const	"src/cython/dilithium_binding.pyx"	""	1	0	killed	1.3	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.44s
5	128	4	str-const	"src/cython/hkdf_binding.pyx"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_entry_point_counts_are_positive_and_consistent | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.46s
6	135	10	str-const	"check_crypto_permitted"	""	1	0	killed	1.0	FAILED tests/test_error_state_gating_tool.py::TestGuardDelegation::test_a_helper_that_opens_with_a_guard_qualifies | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.21s
7	135	36	str-const	"check_operational"	""	1	0	killed	2.1	FAILED tests/test_error_state_gating_tool.py::TestWhichLinesCountAsAGuard::test_the_second_guard_name_counts | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 48 passed in 1.32s
8	142	16	str-const	"_cy_"	""	1	0	killed	1.1	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.31s
9	168	4	str-const	"ama_cryptography/pqc_backends.py"	""	1	0	killed	1.0	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.25s
10	169	4	str-const	"ama_cryptography/ascon.py"	""	1	0	killed	1.0	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_ascon_is_in_scope | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.22s
11	178	4	str-const	"ama_cryptography/agent_binding.py"	""	1	0	killed	1.2	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.35s
12	179	4	str-const	"ama_cryptography/secure_memory.py"	""	1	0	killed	1.1	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.35s
13	187	4	str-const	"lms_signing_available"	""	1	0	killed	1.1	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.31s
14	193	4	str-const	"AmaContext.close"	""	1	0	killed	1.0	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.29s
15	198	4	str-const	"secure_mlock"	""	1	0	killed	1.1	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.31s
16	205	4	str-const	"secure_munlock"	""	1	0	killed	1.1	FAILED tests/test_error_state_gating_tool.py::TestTheRealTree::test_the_whole_scanned_surface_is_gated | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.31s
17	227	4	str-const	"ama_cryptography/_self_test.py"	""	1	0	killed	1.5	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.79s
18	235	4	str-const	"ama_cryptography/crypto_api.py"	""	1	0	killed	1.5	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.79s
19	241	4	str-const	"ama_cryptography/hybrid_combiner.py"	""	1	0	killed	1.5	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.80s
20	247	4	str-const	"ama_cryptography/key_management.py"	""	1	0	killed	1.5	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.79s
21	253	4	str-const	"ama_cryptography/legacy_compat.py"	""	1	0	killed	1.5	FAILED tests/test_error_state_gating_tool.py::TestModuleDiscovery::test_every_native_reaching_module_is_classified | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 13 passed in 0.79s
22	265	8	return-none	return node.id == "_native_lib"	return None	1	0	killed	2.2	FAILED tests/test_error_state_gating_tool.py::TestWhatCountsAsTheNativeHandle::test_the_bare_handle_is_the_handle | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 21 passed in 1.38s
23	265	23	compare	==	!=	1	0	killed	2.2	FAILED tests/test_error_state_gating_tool.py::TestWhatCountsAsTheNativeHandle::test_the_bare_handle_is_the_handle | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 21 passed in 1.33s
24	265	26	str-const	"_native_lib"	""	1	0	killed	2.1	FAILED tests/test_error_state_gating_tool.py::TestWhatCountsAsTheNativeHandle::test_the_bare_handle_is_the_handle | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 21 passed in 1.27s
