id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
1	133	8	str-const	"ubuntu-latest"	""	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_retired_macos_13_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.23s
2	134	8	str-const	"ubuntu-24.04"	""	0	0	survived	2.7	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.60s
3	135	8	str-const	"ubuntu-22.04"	""	0	0	survived	2.8	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.69s
4	137	8	str-const	"ubuntu-24.04-arm"	""	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_supported_labels_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 3 passed in 0.24s
5	138	8	str-const	"ubuntu-22.04-arm"	""	0	0	survived	2.8	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.63s
6	140	8	str-const	"macos-latest"	""	1	0	killed	1.9	FAILED tests/test_workflow_command_checks.py::TestRepositoryWorkflows::test_repository_workflows_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 98 passed in 1.14s
7	141	8	str-const	"macos-26"	""	0	0	survived	2.9	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.65s
8	142	8	str-const	"macos-15"	""	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestRunnerLabels::test_supported_labels_pass | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 3 passed in 0.24s
9	143	8	str-const	"macos-14"	""	0	0	survived	2.8	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.64s
10	145	8	str-const	"macos-26-intel"	""	0	0	survived	2.8	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.64s
