[ascon-encrypt] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41          7,809,986         457,878           1,606           1,387
  0x5a          7,809,986         457,878           1,606           1,387
  0x6d          7,809,986         457,878           1,606           1,387
  0x71          7,809,986         457,878           1,606           1,387
  0x30          7,809,986         457,878           1,606           1,387
  0x7e          7,809,986         457,878           1,606           1,387
  0x21          7,809,986         457,878           1,606           1,387
  0x35          7,809,986         457,878           1,606           1,387
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

ASCON-ENCRYPT CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
