[ascon-hash] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41         20,184,177         543,874           1,609           1,390
  0x5a         20,184,177         543,874           1,609           1,390
  0x6d         20,184,177         543,874           1,609           1,390
  0x71         20,184,177         543,874           1,609           1,390
  0x30         20,184,177         543,874           1,609           1,390
  0x7e         20,184,177         543,874           1,609           1,390
  0x21         20,184,177         543,874           1,609           1,390
  0x35         20,184,177         543,874           1,609           1,390
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

ASCON-HASH CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
