[consttime-lookup] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41         99,714,488      49,298,009           1,723           1,509
  0x5a         99,714,488      49,298,009           1,723           1,509
  0x6d         99,714,488      49,298,009           1,723           1,509
  0x71         99,714,488      49,298,009           1,723           1,509
  0x30         99,714,488      49,298,009           1,723           1,509
  0x7e         99,714,488      49,298,009           1,723           1,509
  0x21         99,714,488      49,298,009           1,723           1,509
  0x35         99,714,488      49,298,009           1,723           1,509
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

CONSTTIME-LOOKUP CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
