[ecdsa] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41         11,712,630       2,129,444           1,708           1,462
  0x5a         11,712,630       2,129,444           1,708           1,462
  0x6d         11,712,630       2,129,444           1,708           1,462
  0x71         11,712,630       2,129,444           1,708           1,462
  0x30         11,712,630       2,129,444           1,708           1,462
  0x7e         11,712,630       2,129,444           1,708           1,462
  0x21         11,712,630       2,129,444           1,708           1,462
  0x35         11,712,630       2,129,444           1,708           1,462
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

ECDSA CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
