[nistp-ecdsa] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41         11,354,238       3,394,134           2,033           1,677
  0x5a         11,354,238       3,394,134           2,033           1,677
  0x6d         11,354,238       3,394,134           2,033           1,677
  0x71         11,354,238       3,394,134           2,033           1,677
  0x30         11,354,238       3,394,134           2,033           1,677
  0x7e         11,354,238       3,394,134           2,033           1,677
  0x21         11,354,238       3,394,134           2,033           1,677
  0x35         11,354,238       3,394,134           2,033           1,677
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

NISTP-ECDSA CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
