[secp256k1-scalarmult] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41         16,025,577       3,836,843           1,656           1,419
  0x5a         16,025,577       3,836,843           1,656           1,419
  0x6d         16,025,577       3,836,843           1,656           1,419
  0x71         16,025,577       3,836,843           1,656           1,419
  0x30         16,025,577       3,836,843           1,656           1,419
  0x7e         16,025,577       3,836,843           1,656           1,419
  0x21         16,025,577       3,836,843           1,656           1,419
  0x35         16,025,577       3,836,843           1,656           1,419
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

SECP256K1-SCALARMULT CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
