[x25519] deterministic measurements by key class:
  wiring: no dispatch table involved (scalar-only implementation)
  cache geometry: I1=32768,8,64 D1=32768,8,64 LL=8388608,16,64
  key              I refs          D refs       D1 misses      LLd misses
  0x41          8,805,165       1,751,690           1,867           1,573
  0x5a          8,805,165       1,751,690           1,867           1,573
  0x6d          8,805,165       1,751,690           1,867           1,573
  0x71          8,805,165       1,751,690           1,867           1,573
  0x30          8,805,165       1,751,690           1,867           1,573
  0x7e          8,805,165       1,751,690           1,867           1,573
  0x21          8,805,165       1,751,690           1,867           1,573
  0x35          8,805,165       1,751,690           1,867           1,573
  floor                 0               0               0               0
  drift                 0               0               0               0
  worst                 0               0               0               0
  limit                 0               0               0               0

X25519 CONSTANT-TIME CHECK PASSED — instruction count, data references and cache misses are all key-independent.
